PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Charlie Whitehurst	SD	0.1	0.1	0.1	0.521	1	0.01	0	0	0	0
Brady Quinn	KC	0.1	0.2	0.3	0.485	2	0.01	0.01	0	0	0
Drew Stanton	IND	0.1	0.2	0.3	0.558	2	0.01	0.01	0	0	0
Ryan Mallett	NE	0.1	0.1	0.2	0.536	1	0	0.01	0	0	0
T.J. Yates	HOU	0.1	0.2	0.4	0.533	2	0.01	0.01	0	0	0
Byron Leftwich	PIT	0.1	0.1	0.2	0.55	1	0.01	0	0	0	0
Austin Davis	STL	0.1	0.3	0.5	0.57	3	0.01	0.02	0	0	0
Luke McCown	ATL	0.1	0.2	0.5	0.503	3	0.01	0.02	0	0	0
Rex Grossman	WAS	0	0	0	0	0	0	0	0	0	0
Aaron Rodgers	GB	0	0	0	0	0	0	0	0	0	0
Kevin Kolb	ARI	0	0	0	0	0	0	0	0	0	0
Colt McCoy	CLE	0	0	0	0	0	0	0	0	0	0
John Skelton	ARI	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Graham Harrell	GB	0	0	0	0	0	0	0	0	0	0
Robert Griffin III	WAS	0	0	0	0	0	0	0	0	0	0
Brandon Weeden	CLE	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
