PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Colin Kaepernick	SF	0.1	0.2	0.4	0.537	2	0	0.01	0	0	0
T.J. Yates	HOU	0.1	0.2	0.4	0.648	2	0.01	0.01	0	0	0.01
Tyrod Taylor	BAL	0.1	0.2	0.2	0.688	2	0.01	0	0	0	0
Graham Harrell	GB	0.1	0.2	0.4	0.622	2	0.02	0.01	0	0	0
Byron Leftwich	PIT	0.1	0.2	0.4	0.608	3	0.01	0.01	0	0	0
Austin Davis	STL	0.1	0.2	0.3	0.538	2	0.01	0.01	0	0	0
Luke McCown	ATL	0.1	0.1	0.2	0.575	1	0.01	0.01	0	0	0
Charlie Batch	PIT	0	0	0	0	0	0	0	0	0	0
Chris Redman	ATL	0	0	0	0	0	0	0	0	0	0
Josh McCown	CHI	0	0	0	0	0	0	0	0	0	0
Seneca Wallace	CLE	0	0	0	0	0	0	0	0	0	0
Vince Young	BUF	0	0	0	0	0	0	0	0	0	0
Kellen Clemens	STL	0	0	0	0	0	0	0	0	0	0
Brady Quinn	KC	0	0.1	0.3	0.473	1	0	0.01	0	0	0
John Beck	HOU	0	0	0	0	0	0	0	0	0	0
Josh Johnson	SF	0	0	0	0	0	0	0	0	0	0
Curtis Painter	BAL	0	0	0	0	0	0	0	0	0	0
Brian Hoyer	NE	0	0	0	0	0	0	0	0	0	0
Mike Kafka	PHI	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
