PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Drew Stanton	IND	0.2	0.3	0.6	0.558	4	0.02	0.01	0	0	0
Colin Kaepernick	SF	0.2	0.3	0.6	0.566	4	0.02	0.02	0	0	0
Ryan Mallett	NE	0.2	0.3	0.5	0.529	3	0.02	0.02	0	0	0
Tyrod Taylor	BAL	0.2	0.3	0.4	0.733	4	0.02	0.01	0	0	0
Derek Anderson	CAR	0.1	0.2	0.4	0.499	3	0.01	0.01	0	0	0
Tarvaris Jackson	BUF	0.1	0.4	0.7	0.554	4	0.01	0.03	0	0	0
Charlie Whitehurst	SD	0.1	0.1	0.2	0.544	1	0	0.01	0	0	0
Bruce Gradkowski	CIN	0.1	0.2	0.5	0.438	3	0.02	0.02	0	0	0
Brady Quinn	KC	0.1	0.2	0.3	0.453	2	0.01	0.01	0	0	0
Chad Henne	JAC	0.1	0.4	0.6	0.561	4	0	0.02	0	0	0
Caleb Hanie	DEN	0.1	0.3	0.6	0.459	3	0.01	0.03	0	0	0
Chase Daniel	NO	0.1	0.2	0.2	0.755	2	0.02	0	0	0	0
Colt McCoy	CLE	0.1	0.2	0.3	0.579	2	0.01	0.01	0	0	0
T.J. Yates	HOU	0.1	0.2	0.3	0.669	2	0.01	0	0	0	0
Graham Harrell	GB	0.1	0.2	0.3	0.594	2	0.01	0.02	0	0	0
Byron Leftwich	PIT	0.1	0.2	0.3	0.555	3	0.01	0.01	0	0	0
Austin Davis	STL	0.1	0.1	0.2	0.566	1	0.01	0	0	0	0
Luke McCown	ATL	0.1	0.1	0.3	0.537	2	0.01	0.01	0	0	0
Charlie Batch	PIT	0	0	0	0	0	0	0	0	0	0
Chris Redman	ATL	0	0	0	0	0	0	0	0	0	0
David Carr	NYG	0	0.1	0.1	0.56	1	0	0	0	0	0
Josh McCown	CHI	0	0	0	0	0	0	0	0	0	0
Rex Grossman	WAS	0	0.1	0.2	0.453	1	0	0.01	0	0	0
Seneca Wallace	CLE	0	0	0	0	0	0	0	0	0	0
Vince Young	BUF	0	0	0	0	0	0	0	0	0	0
Kellen Clemens	STL	0	0	0	0	0	0	0	0	0	0
John Beck	HOU	0	0	0	0	0	0	0	0	0	0
Josh Johnson	SF	0	0	0	0	0	0	0	0	0	0
Curtis Painter	BAL	0	0	0	0	0	0	0	0	0	0
Brian Hoyer	NE	0	0	0	0	0	0	0	0	0	0
Mike Kafka	PHI	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
