PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Tim Tebow	NYJ	2	0.6	1.5	0.409	7	0.04	0.03	13	0.1	0.1
Matt Leinart	OAK	0.6	1	1.8	0.583	12	0.05	0.05	0	0	0.01
Matt Hasselbeck	TEN	0.5	0.8	1.2	0.648	9	0.05	0.03	0	0	0.01
Nick Foles	PHI	0.5	0.9	1.6	0.539	11	0.04	0.04	0	0	0.01
Chad Henne	JAC	0.4	0.7	1.1	0.625	7	0.03	0.03	0	0	0.01
Kyle Orton	DAL	0.3	0.5	0.8	0.608	5	0.03	0.02	0	0	0
Matt Flynn	SEA	0.3	0.5	0.9	0.608	6	0.03	0.04	0	0	0
David Carr	NYG	0.2	0.2	0.4	0.564	3	0.01	0.01	0	0	0
Jason Campbell	CHI	0.2	0.2	0.4	0.574	3	0.01	0.01	0	0	0
Tarvaris Jackson	BUF	0.2	0.4	0.7	0.559	4	0.02	0.02	0	0	0
Bruce Gradkowski	CIN	0.2	0.4	0.8	0.477	5	0.02	0.03	0	0	0.01
Matt Moore	MIA	0.2	0.5	0.9	0.523	5	0.03	0.03	0	0	0.03
Chase Daniel	NO	0.2	0.3	0.4	0.747	3	0.02	0.01	0	0	0
Tyrod Taylor	BAL	0.2	0.3	0.4	0.749	3	0.02	0.01	0	0	0
Shaun Hill	DET	0.1	0.2	0.3	0.626	2	0.01	0.01	0	0	0
Rex Grossman	WAS	0.1	0.2	0.3	0.556	2	0.01	0.01	0	0	0.01
Dan Orlovsky	TB	0.1	0.2	0.3	0.584	2	0.01	0.01	0	0	0.01
Derek Anderson	CAR	0.1	0.2	0.4	0.489	2	0.01	0.01	0	0	0
Charlie Whitehurst	SD	0.1	0.2	0.4	0.546	2	0.01	0.01	0	0	0.01
Brady Quinn	KC	0.1	0.2	0.4	0.582	2	0.01	0.01	0	0	0
Drew Stanton	IND	0.1	0.1	0.2	0.608	2	0.01	0.01	0	0	0
Caleb Hanie	DEN	0.1	0.2	0.5	0.453	3	0.01	0.03	0	0	0
Colt McCoy	CLE	0.1	0.2	0.3	0.558	2	0.01	0.01	0	0	0
Joe Webb	MIN	0.1	0.1	0.2	0.573	2	0	0.01	0	0	0
Colin Kaepernick	SF	0.1	0.2	0.3	0.623	2	0.01	0	0	0	0
Ryan Mallett	NE	0.1	0.2	0.4	0.507	2	0.01	0.01	0	0	0
T.J. Yates	HOU	0.1	0.3	0.4	0.604	3	0.01	0.01	0	0	0.01
Graham Harrell	GB	0.1	0.2	0.3	0.617	2	0.01	0.01	0	0	0
Byron Leftwich	PIT	0.1	0.2	0.4	0.547	3	0.01	0.01	0	0	0
Luke McCown	ATL	0.1	0.2	0.5	0.49	2	0.01	0.02	0	0	0
John Skelton	ARI	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
Austin Davis	STL	0	0.1	0.2	0.576	1	0	0.01	0	0	0
