PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Matt Leinart	OAK	0.6	1.1	1.9	0.601	12	0.04	0.06	0	0	0
Nick Foles	PHI	0.6	1	1.7	0.584	12	0.05	0.05	0	0	0.01
Kevin Kolb	ARI	0.5	1.1	1.9	0.599	11	0.05	0.07	0	0	0.02
Matt Hasselbeck	TEN	0.4	0.7	1.2	0.547	8	0.04	0.04	0	0	0
Matt Flynn	SEA	0.4	0.6	1	0.65	8	0.04	0.04	0	0	0.01
Kyle Orton	DAL	0.3	0.5	0.9	0.597	6	0.03	0.02	0	0	0
Tarvaris Jackson	BUF	0.3	0.6	1	0.545	6	0.02	0.02	0	0	0.01
Matt Moore	MIA	0.3	0.7	1.1	0.616	6	0.04	0.04	0	0	0.02
Chad Henne	JAC	0.3	0.5	0.8	0.619	6	0.02	0.04	0	0	0
Shaun Hill	DET	0.2	0.3	0.5	0.645	4	0.02	0.02	0	0	0
Bruce Gradkowski	CIN	0.2	0.4	0.8	0.458	4	0.02	0.04	0	0	0
Caleb Hanie	DEN	0.2	0.3	0.7	0.496	4	0.01	0.04	0	0	0
Chase Daniel	NO	0.2	0.3	0.4	0.726	3	0.02	0.01	0	0	0
Tyrod Taylor	BAL	0.2	0.3	0.4	0.764	3	0.02	0	0	0	0
Luke McCown	ATL	0.2	0.3	0.5	0.551	4	0.02	0.02	0	0	0
David Carr	NYG	0.1	0.2	0.4	0.472	2	0.01	0.01	0	0	0
Rex Grossman	WAS	0.1	0.2	0.4	0.525	3	0.02	0.02	0	0	0.01
Jason Campbell	CHI	0.1	0.2	0.3	0.623	2	0.01	0	0	0	0
Derek Anderson	CAR	0.1	0.1	0.3	0.446	1	0.01	0.01	0	0	0
Charlie Whitehurst	SD	0.1	0.1	0.2	0.465	1	0.01	0	0	0	0
Brady Quinn	KC	0.1	0.2	0.3	0.647	2	0.01	0	0	0	0
Drew Stanton	IND	0.1	0.2	0.3	0.548	2	0.01	0	0	0	0
Colt McCoy	CLE	0.1	0.2	0.3	0.513	2	0.01	0	0	0	0
Colin Kaepernick	SF	0.1	0.2	0.4	0.523	2	0.01	0.01	0	0	0
Ryan Mallett	NE	0.1	0.2	0.3	0.56	2	0.01	0.01	0	0	0
T.J. Yates	HOU	0.1	0.2	0.3	0.673	2	0.01	0	0	0	0
Graham Harrell	GB	0.1	0.3	0.5	0.616	4	0.01	0.02	0	0	0
Byron Leftwich	PIT	0.1	0.1	0.3	0.54	2	0.01	0.01	0	0	0
Austin Davis	STL	0.1	0.2	0.5	0.552	3	0.01	0.01	0	0	0
Charlie Batch	PIT	0	0	0	0	0	0	0	0	0	0
Chris Redman	ATL	0	0	0	0	0	0	0	0	0	0
Josh McCown	CHI	0	0	0	0	0	0	0	0	0	0
Seneca Wallace	CLE	0	0	0	0	0	0	0	0	0	0
Vince Young	BUF	0	0	0	0	0	0	0	0	0	0
Kellen Clemens	STL	0	0	0	0	0	0	0	0	0	0
John Beck	HOU	0	0	0	0	0	0	0	0	0	0
Josh Johnson	SF	0	0	0	0	0	0	0	0	0	0
Curtis Painter	BAL	0	0	0	0	0	0	0	0	0	0
Brian Hoyer	NE	0	0	0	0	0	0	0	0	0	0
Mike Kafka	PHI	0	0	0	0	0	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
