PLAYER	TEAM	FP	COMP	ATT	CMP%	PASSYD	PASSTD	INT	RUSHYD	RUSHTD	FUML
Christian Ponder	MIN	9.6	17.1	31.9	0.534	190	0.77	1.13	15	0.06	0.35
Sam Bradford	STL	9.5	22.7	37.5	0.606	206	0.81	0.82	3	0.02	0.35
John Skelton	ARI	9.5	16.5	33.3	0.496	193	0.91	1.37	13	0.05	0.32
Mark Sanchez	NYJ	9	15.6	30	0.52	176	0.82	0.83	6	0.08	0.34
Blaine Gabbert	JAC	8.9	17.9	28.8	0.62	174	0.8	0.58	7	0.04	0.55
Carson Palmer	OAK	8.4	17.2	31	0.555	189	0.8	1.24	2	0.02	0.13
Ryan Tannehill	MIA	7.5	15.2	30.8	0.493	156	0.55	1.12	12	0.13	0.35
Tim Tebow	NYJ	2.6	1.2	2.9	0.401	13	0.07	0.08	16	0.11	0.14
Dan Orlovsky	TB	0.7	1.1	1.8	0.603	15	0.07	0.04	0	0	0.04
Matt Hasselbeck	TEN	0.6	0.9	1.4	0.647	11	0.06	0.04	0	0	0.01
Kevin Kolb	ARI	0.6	1.1	2	0.574	13	0.08	0.07	0	0	0.04
Nick Foles	PHI	0.5	0.9	1.6	0.532	11	0.03	0.03	0	0	0.01
Matt Leinart	OAK	0.4	0.9	1.5	0.582	9	0.03	0.05	0	0	0.01
Chad Henne	JAC	0.4	0.7	1	0.65	7	0.03	0.03	0	0.01	0
Matt Flynn	SEA	0.4	0.6	0.9	0.614	7	0.05	0.04	0	0	0
Kyle Orton	DAL	0.3	0.4	0.7	0.617	5	0.03	0.02	0	0	0
Tarvaris Jackson	BUF	0.3	0.5	0.8	0.56	5	0.03	0.02	0	0	0.01
Matt Moore	MIA	0.3	0.5	1	0.525	6	0.03	0.04	0	0	0.04
Shaun Hill	DET	0.2	0.3	0.5	0.601	4	0.02	0.01	0	0	0
Jason Campbell	CHI	0.2	0.2	0.3	0.642	2	0.02	0	0	0	0
Bruce Gradkowski	CIN	0.2	0.3	0.6	0.508	4	0.02	0.03	0	0	0
Caleb Hanie	DEN	0.2	0.3	0.6	0.489	4	0.02	0.03	0	0	0
Tyrod Taylor	BAL	0.2	0.3	0.4	0.797	3	0.03	0	0	0	0
David Carr	NYG	0.1	0.2	0.4	0.571	3	0.01	0.02	0	0	0
Rex Grossman	WAS	0.1	0.2	0.4	0.528	2	0.01	0.02	0	0	0.01
Derek Anderson	CAR	0.1	0.2	0.4	0.501	2	0.01	0.01	0	0	0.01
Charlie Whitehurst	SD	0.1	0.2	0.4	0.569	2	0.01	0.01	0	0	0
Brady Quinn	KC	0.1	0.2	0.4	0.514	2	0.01	0.01	0	0	0
Drew Stanton	IND	0.1	0.2	0.3	0.619	2	0.01	0.01	0	0	0
Chase Daniel	NO	0.1	0.2	0.2	0.757	2	0.01	0	0	0	0
Colt McCoy	CLE	0.1	0.2	0.5	0.526	3	0.01	0.02	0	0	0
Colin Kaepernick	SF	0.1	0.1	0.2	0.619	1	0.01	0.01	0	0	0
Ryan Mallett	NE	0.1	0.2	0.4	0.515	2	0.01	0.01	0	0	0
T.J. Yates	HOU	0.1	0.2	0.3	0.564	2	0.01	0.01	0	0	0
Graham Harrell	GB	0.1	0.2	0.3	0.595	2	0.01	0.01	0	0	0
Byron Leftwich	PIT	0.1	0.1	0.2	0.536	2	0.01	0.01	0	0	0
Austin Davis	STL	0.1	0.3	0.5	0.585	2	0.01	0.02	0	0	0
Luke McCown	ATL	0.1	0.2	0.3	0.541	2	0.01	0.01	0	0	0
Charlie Batch	PIT	0	0	0	0	0	0	0	0	0	0
Chris Redman	ATL	0	0	0	0	0	0	0	0	0	0
Josh McCown	CHI	0	0	0	0	0	0	0	0	0	0
Seneca Wallace	CLE	0	0	0	0	0	0	0	0	0	0
Vince Young	BUF	0	0	0	0	0	0	0	0	0	0
Kellen Clemens	STL	0	0	0	0	0	0	0	0	0	0
John Beck	HOU	0	0	0	0	0	0	0	0	0	0
Josh Johnson	SF	0	0	0	0	0	0	0	0	0	0
Curtis Painter	BAL	0	0	0	0	0	0	0	0	0	0
Brian Hoyer	NE	0	0	0	0	0	0	0	0	0	0
Mike Kafka	PHI	0	0	0	0	0	0	0	0	0	0
Joe Webb	MIN	0	0.1	0.1	0.5	1	0	0	0	0	0
Greg McElroy	NYJ	0	0	0	0	0	0	0	0	0	0
Tyler Thigpen	BUF	0	0	0	0	0	0	0	0	0	0
